列車ID,種別ID,行先,駅ID,着時刻,発時刻
JN0614,NOR,川崎,JN16,---,6:14
JN0614,NOR,川崎,JN15,6:15,6:16
JN0614,NOR,川崎,JN14,6:19,6:20
JN0614,NOR,川崎,JN13,6:21,6:22
JN0614,NOR,川崎,JN12,6:23,6:24
JN0614,NOR,川崎,JN11,6:25,6:25
JN0614,NOR,川崎,JN10,6:27,6:28
JN0614,NOR,川崎,JN09,6:30,6:30
JN0614,NOR,川崎,JN08,6:33,6:34
JN0614,NOR,川崎,JN07,6:36,---
JN0623,NOR,川崎,JN16,---,6:23
JN0623,NOR,川崎,JN15,6:24,6:25
JN0623,NOR,川崎,JN14,6:27,6:28
JN0623,NOR,川崎,JN13,6:29,6:29
JN0623,NOR,川崎,JN12,6:31,6:31
JN0623,NOR,川崎,JN11,6:33,6:33
JN0623,NOR,川崎,JN10,6:35,6:36
JN0623,NOR,川崎,JN09,6:38,6:38
JN0623,NOR,川崎,JN08,6:40,6:41
JN0623,NOR,川崎,JN07,6:43,---
JN0627,NOR,川崎,JN16,---,6:27
JN0627,NOR,川崎,JN15,6:28,6:29
JN0627,NOR,川崎,JN14,6:31,6:32
JN0627,NOR,川崎,JN13,6:33,6:33
JN0627,NOR,川崎,JN12,6:35,6:35
JN0627,NOR,川崎,JN11,6:37,6:37
JN0627,NOR,川崎,JN10,6:39,6:40
JN0627,NOR,川崎,JN09,6:42,6:42
JN0627,NOR,川崎,JN08,6:44,6:45
JN0627,NOR,川崎,JN07,6:47,---
JN0634,NOR,川崎,JN16,---,6:34
JN0634,NOR,川崎,JN15,6:36,6:36
JN0634,NOR,川崎,JN14,6:39,6:40
JN0634,NOR,川崎,JN13,6:42,6:42
JN0634,NOR,川崎,JN12,6:44,6:44
JN0634,NOR,川崎,JN11,6:46,6:46
JN0634,NOR,川崎,JN10,6:48,6:49
JN0634,NOR,川崎,JN09,6:51,6:52
JN0634,NOR,川崎,JN08,6:54,6:55
JN0634,NOR,川崎,JN07,6:57,---
JN0643,NOR,川崎,JN16,---,6:43
JN0643,NOR,川崎,JN15,6:45,6:45
JN0643,NOR,川崎,JN14,6:47,6:48
JN0643,NOR,川崎,JN13,6:50,6:50
JN0643,NOR,川崎,JN12,6:52,6:52
JN0643,NOR,川崎,JN11,6:54,6:54
JN0643,NOR,川崎,JN10,6:56,6:57
JN0643,NOR,川崎,JN09,6:59,7:00
JN0643,NOR,川崎,JN08,7:02,7:03
JN0643,NOR,川崎,JN07,7:05,---
JN0646,NOR,川崎,JN16,---,6:46
JN0646,NOR,川崎,JN15,6:48,6:48
JN0646,NOR,川崎,JN14,6:51,6:51
JN0646,NOR,川崎,JN13,6:53,6:53
JN0646,NOR,川崎,JN12,6:55,6:56
JN0646,NOR,川崎,JN11,6:57,6:57
JN0646,NOR,川崎,JN10,6:59,7:00
JN0646,NOR,川崎,JN09,7:02,7:03
JN0646,NOR,川崎,JN08,7:06,7:06
JN0646,NOR,川崎,JN07,7:08,---
JN0654,NOR,川崎,JN16,---,6:54
JN0654,NOR,川崎,JN15,6:56,6:57
JN0654,NOR,川崎,JN14,7:00,7:00
JN0654,NOR,川崎,JN13,7:02,7:02
JN0654,NOR,川崎,JN12,7:04,7:05
JN0654,NOR,川崎,JN11,7:06,7:06
JN0654,NOR,川崎,JN10,7:08,7:09
JN0654,NOR,川崎,JN09,7:11,7:12
JN0654,NOR,川崎,JN08,7:15,7:15
JN0654,NOR,川崎,JN07,7:17,---
JN0700,NOR,川崎,JN16,---,7:00
JN0700,NOR,川崎,JN15,7:02,7:02
JN0700,NOR,川崎,JN14,7:05,7:05
JN0700,NOR,川崎,JN13,7:07,7:07
JN0700,NOR,川崎,JN12,7:09,7:09
JN0700,NOR,川崎,JN11,7:11,7:11
JN0700,NOR,川崎,JN10,7:13,7:13
JN0700,NOR,川崎,JN09,7:15,7:16
JN0700,NOR,川崎,JN08,7:18,7:19
JN0700,NOR,川崎,JN07,7:21,---
JN0705,NOR,川崎,JN16,---,7:05
JN0705,NOR,川崎,JN15,7:06,7:07
JN0705,NOR,川崎,JN14,7:10,7:10
JN0705,NOR,川崎,JN13,7:12,7:12
JN0705,NOR,川崎,JN12,7:14,7:14
JN0705,NOR,川崎,JN11,7:16,7:16
JN0705,NOR,川崎,JN10,7:18,7:18
JN0705,NOR,川崎,JN09,7:20,7:21
JN0705,NOR,川崎,JN08,7:23,7:24
JN0705,NOR,川崎,JN07,7:26,---
JN0711,NOR,川崎,JN16,---,7:11
JN0711,NOR,川崎,JN15,7:13,7:13
JN0711,NOR,川崎,JN14,7:16,7:16
JN0711,NOR,川崎,JN13,7:18,7:18
JN0711,NOR,川崎,JN12,7:20,7:20
JN0711,NOR,川崎,JN11,7:22,7:22
JN0711,NOR,川崎,JN10,7:24,7:24
JN0711,NOR,川崎,JN09,7:26,7:27
JN0711,NOR,川崎,JN08,7:29,7:30
JN0711,NOR,川崎,JN07,7:32,---
JN0715,NOR,川崎,JN16,---,7:15
JN0715,NOR,川崎,JN15,7:16,7:17
JN0715,NOR,川崎,JN14,7:19,7:20
JN0715,NOR,川崎,JN13,7:22,7:22
JN0715,NOR,川崎,JN12,7:24,7:24
JN0715,NOR,川崎,JN11,7:26,7:26
JN0715,NOR,川崎,JN10,7:28,7:29
JN0715,NOR,川崎,JN09,7:31,7:32
JN0715,NOR,川崎,JN08,7:34,7:35
JN0715,NOR,川崎,JN07,7:37,---
JN0719,NOR,川崎,JN16,---,7:19
JN0719,NOR,川崎,JN15,7:21,7:22
JN0719,NOR,川崎,JN14,7:25,7:25
JN0719,NOR,川崎,JN13,7:27,7:27
JN0719,NOR,川崎,JN12,7:29,7:29
JN0719,NOR,川崎,JN11,7:31,7:31
JN0719,NOR,川崎,JN10,7:33,7:34
JN0719,NOR,川崎,JN09,7:36,7:37
JN0719,NOR,川崎,JN08,7:39,7:40
JN0719,NOR,川崎,JN07,7:42,---
JN0722,NOR,川崎,JN16,---,7:22
JN0722,NOR,川崎,JN15,7:24,7:24
